"","60F_Avg","60M_Avg","48F_Avg","48M_Avg","36F_Avg","36M_Avg","18F_Avg","18M_Avg","7F_Avg","7M_Avg"
"gene-LOC132766207|LOC132766207",198.6,249.666666666667,196.2,331.8,202.2,323.4,443.4,253.2,406,388.6
"gene-LOC137097704|LOC137097704",1,1.33333333333333,0.6,2,0,6.4,9.8,3.8,2.4,1.6
"gene-MRPS35|MRPS35",537.8,702.333333333333,625.2,666.4,528.4,617.4,706.4,602.6,930.2,784.4
"gene-LOC132772340|LOC132772340",0,0,0,0,0,0.8,0,0,0.8,0
"gene-LOC132765252|LOC132765252",272,448,246.4,457.6,316.4,448.6,530.4,521.2,453.2,353.2
"gene-POMT1|POMT1",16,78.3333333333333,63.6,109.4,43.4,105.8,75,95.6,83.2,70.8
"gene-GTF2F1|GTF2F1",239.8,369,396.4,518.6,362.8,461,478.4,397.6,341.6,302.6
"gene-LOC132773541|LOC132773541",3.4,4,4.8,7.6,0,7.6,1.2,6,17,23.4
"gene-ZNF804A|ZNF804A",0,0,4.6,0,0.8,0,0,1.4,1.2,1.8
"gene-P2RX5|P2RX5",11,6.33333333333333,6.4,2.4,34.6,10,9.4,0,0,0
"gene-LOC132770380|LOC132770380",293,525,470.4,551.6,613.4,558.6,566.2,371.2,670.4,468.6
"gene-EFHD2|EFHD2",2.4,4,0,4.4,1.2,5.4,2.2,9.6,11,3.4
"gene-CIMIP1|CIMIP1",5.2,4.33333333333333,2.6,13.6,4.4,26.6,5,5.4,14.4,5.6
"gene-CA14|CA14",1234.4,559.666666666667,1372.4,464.6,960.2,684.6,1445,491.2,3200.2,787.6
"gene-SLC30A2|SLC30A2",430.6,345,79.6,754,566.8,190,228.6,740,376.6,342.8
"gene-LOC132773422|LOC132773422",0,0,0,0,0,0,0,0,0,0
"gene-AHI1|AHI1",21.8,49,30.6,49.6,33.2,48.2,47.6,41.4,67.4,30
"gene-LOC132764748|LOC132764748",0,0,0,0,0,0,0,0,0,0
"gene-SLC17A7|SLC17A7",0,0,33.8,1.6,0,0,0,0,0,0
"gene-LOC132772392|LOC132772392",0.6,0.666666666666667,0.4,0.8,0.4,0,0.2,0,0.4,0.2
"gene-CTNNBIP1|CTNNBIP1",188.8,642.333333333333,236,516.4,245,521.6,447.4,399.6,343.8,338
"gene-BEND4|BEND4",1.4,11.3333333333333,7,20.4,12.2,10,1,3.2,0.6,0
"gene-LOC132779055|LOC132779055",47.6,154.666666666667,68.4,137.8,71.4,150.4,203.8,163,151.2,122.8
"gene-COL27A1|COL27A1",116.8,206.333333333333,79,178,271.4,241.2,234.8,125,88,146.4
"gene-LOC137094725|LOC137094725",3.8,18.3333333333333,7.8,17.4,12.6,18.4,20.8,15.6,19.8,16.6
"gene-SECISBP2L|SECISBP2L",163.6,631.666666666667,238.2,560.8,287.6,448.4,681.2,522.8,511.6,351.6
"gene-LOC132771073|LOC132771073",1.2,4.66666666666667,0,2.2,0,1.2,1.2,129,0.8,149.4
"gene-PHF21A|PHF21A",435,561.333333333333,416,483.4,431,437.8,576.6,565.4,606.6,518
"gene-LOC132775733|LOC132775733",12521.4,22731.3333333333,18091.4,17889.2,19116.8,26705.6,31648.4,28576.4,32273.8,35691.6
"gene-FMR1|FMR1",2521.8,4588.33333333333,2846.8,3718.8,2999.2,4126.2,4708.6,4701.6,5662.8,3991.8
"gene-SKA2|SKA2",177.2,245.333333333333,182.6,274.2,237.2,243.2,293.8,175.8,320,193.8
"gene-LOC137096694|LOC137096694",517.6,1011,763.2,1060.8,876.8,1000.2,1082.8,980.4,1087.4,1071
"gene-PUS3|PUS3",248.8,333,255.8,348.4,305.2,336.6,312.8,268.8,350.4,260.8
"gene-LOC137095636|LOC137095636",0,0,0,0,0,0,0,0,0,0
"gene-EYA1|EYA1",1.6,1.66666666666667,1.2,2.4,1,3.2,3.8,11.4,9,3
"gene-RECQL|RECQL",126,563.666666666667,157,207.4,93.4,171.6,213.4,711.4,116.2,102.2
"gene-ATP13A2|ATP13A2",391.2,548.666666666667,463.8,780,572,735,696.2,406.2,330.6,282.4
"gene-LOC132764906|LOC132764906",55.6,407.333333333333,25,292.6,177.4,656,5,49.2,2.6,98.4
"gene-TAF7L|TAF7L",1201.8,1481.66666666667,992,1282.8,1619.2,1031.2,1634.6,1401.2,1589.4,1158.8
"gene-MRPL16|MRPL16",453.8,905.333333333333,594.4,1032.8,679.6,902.2,861.4,819.4,1032.4,998.2
"gene-LOC132773560|LOC132773560",52.6,76.6666666666667,49,189.8,261.8,138.6,301,79,99,39.6
"gene-DAW1|DAW1",0,13.6666666666667,1.2,5.6,6.4,12.2,11,5.2,6,3.4
"gene-LOC137095999|LOC137095999",2.2,3.33333333333333,2.6,5,2.2,6.2,7.2,2.4,6.2,4.6
"gene-SNRPA1|SNRPA1",592.4,465.666666666667,571.8,556,451.6,457.2,382.6,319.8,370,351.6
"gene-LOC137097784|LOC137097784",0,0,0,0,0,0,0,0,0,0
"gene-XXYLT1|XXYLT1",177.2,273.333333333333,155.8,173,252,220.4,315,194.6,305.8,241.2
"gene-TMEM35A|TMEM35A",28.2,3,4,34.8,7.6,6.6,13.2,3.8,12,3.4
"gene-LOC132765589|LOC132765589",309.4,999,535,1487.8,616,964.6,1072,991.6,472.4,550.4
"gene-TRNAC-GCA-9|TRNAC-GCA",1,0.666666666666667,1.4,2,1.2,1,1,1,1.2,1.8
"gene-SGCD|SGCD",13.6,77.3333333333333,11,31.6,131,138.4,22.4,22.2,16,23
"gene-LOC132772409|LOC132772409",0,0,0,0,0,0,0,0,0,0
"gene-LOC132768365|LOC132768365",696.4,2037.33333333333,187,2634.4,1156,2411.2,1858.8,1273.8,665,399
"gene-LOC137097623|LOC137097623",4,2,1.2,6.4,2.6,11.8,7.6,5,4.8,2.6
"gene-LOC132770907|LOC132770907",1090.2,1699.66666666667,1135.4,1442,1683.2,1781.6,2201.6,1476.8,1726,1104.4
"gene-GTF2A1|GTF2A1",1725.2,3078,1848.6,2389,2387.4,2611,3265.4,3173,3368.4,2446.2
"gene-GMPS|GMPS",2771.4,5936.33333333333,3803.2,7945.4,4117,6890.6,5711.8,4344,5120.8,5503
"gene-TPRKB|TPRKB",406.4,295,398.6,762.6,515,353.6,382.8,385,506.2,311.8
"gene-LOC137096611|LOC137096611",1.2,2,0.6,0,0,0,0.8,0,0,0
"gene-MTMR14|MTMR14",1154.8,1551.33333333333,1139,1758.8,1307.8,1318.6,1475.6,1322.6,1491.6,1493.4
"gene-LOC137096343|LOC137096343",57.6,79.3333333333333,72,48,109,124.6,92,49.6,32.6,21.2
"gene-LOC132778223|LOC132778223",1699,4388.33333333333,1877,3372.8,2347.2,3967,4477.6,3486.6,4258.6,3131.2
"gene-OLIG3|OLIG3",0,0,0,0,0,0,0,0,0,0
"gene-GLRA2|GLRA2",0.6,0,1.4,0,0,0,0,0.6,0,0
"gene-CLP1|CLP1",456.2,567,339.6,578.4,442,477,518.8,369.4,478.4,367.2
"gene-SHCBP1|SHCBP1",12,2.66666666666667,9,12.4,7,8.2,23.8,4.6,179.8,96.6
"gene-LOC132780202|LOC132780202",2286.6,2642,2558,2603.8,3266.4,2510,2788.2,2330.8,2066.6,1316.2
"gene-LDLRAD4|LDLRAD4",1660.2,2806.33333333333,1771.8,1997.4,2865.6,2726.4,3955,3124.2,3567.4,2614.8
"gene-LOC132777917|LOC132777917",3.4,1.66666666666667,8.8,6.2,4.8,3.6,4.8,1.4,1.6,0
"gene-DHX58|DHX58",761,981.333333333333,648.8,1155.8,792,846.6,1505.2,1030.4,977.4,775.4
"gene-LOC132772878|LOC132772878",29.2,52.3333333333333,20.6,55.8,38.8,63.4,58.6,47.8,28.8,22.8
"gene-CDH11|CDH11",132,484.666666666667,95,198.2,173.4,81.4,157.2,55.6,102.2,101.2
"gene-LOC132780970|LOC132780970",666.4,622.333333333333,518,721.4,685,804.4,996.8,802.8,747.2,539.6
"gene-DISC1|DISC1",48,123.666666666667,46.2,100.4,62.4,72,105.2,94,96.4,97.2
"gene-LOC132771459|LOC132771459",2.4,0,0,0,2,0,1,0,0,0
"gene-LOC132763103|LOC132763103",0,0,0,0,0,0,2,0,0.8,0.8
"gene-EXOG|EXOG",33.4,57.3333333333333,33,66,32,93.2,73.8,87.2,262.8,207.4
"gene-LOC132761790|LOC132761790",2.8,40,4.4,17.8,18.4,13.8,31.4,13.6,1,1.8
"gene-TMPRSS3|TMPRSS3",11,76.6666666666667,17.2,60,6,51.4,13.8,12.8,9.2,18.4
"gene-LOC132769857|LOC132769857",0,0,0,0,0,0,0,0,0,0
"gene-LOC132782053|LOC132782053",197.4,251,164.4,400.2,199.6,313.2,311.8,179.8,273.4,207.4
"gene-LOC132782669|LOC132782669",4.4,33.3333333333333,29,2.6,0,1.4,6.6,0,15.2,29.6
"gene-OTULIN|OTULIN",240.2,317.333333333333,197,380.2,318,309.2,306.4,164.6,237.6,215.8
"gene-PEX5|PEX5",915.4,1260.33333333333,958,1308.8,1166.8,1456.2,1605.6,1568.6,1779.6,1670.2
"gene-LOC132774184|LOC132774184",346.4,414.666666666667,304.4,311.2,524.6,439.2,577.6,574,675.8,601.4
"gene-LRRC32|LRRC32",9.8,28.3333333333333,9.8,24.8,57.4,6.6,44.4,10.2,66.8,62.6
"gene-LOC132765923|LOC132765923",121.4,306,195.6,375.2,305.2,359.6,587.2,429.2,719,410.2
"gene-TCF20|TCF20",795.8,1583,808.8,1531.8,962.8,1289.8,1457.2,1159.2,1374.2,1107
"gene-LOC132760898|LOC132760898",4777.6,11392.3333333333,9303.8,13292.2,8589.6,21286.8,8628.8,11665.6,8279.8,12461.2
"gene-GGA1|GGA1",362,820,472.2,862,483.6,948.4,1085.6,789.4,1118.2,779.4
"gene-FAM185A|FAM185A",108,169.666666666667,145.4,211.2,125.6,254,200.8,164.4,213.8,157
"gene-RNASEH2B|RNASEH2B",361.4,405.666666666667,307.6,443.8,435.6,809,1652.6,259.6,447,335
"gene-LOC137096947|LOC137096947",36.6,82,434.2,201,121,80,455,143.2,224,670.2
"gene-WIF1|WIF1",62.2,26.3333333333333,8.8,28,18.8,26,38.8,26.4,41,10.4
"gene-GNG12|GNG12",1348.4,4322.33333333333,1836.8,4676.6,2273.2,3067.6,3359,2791.4,2034.8,1829
"gene-PLEKHG4B|PLEKHG4B",78,174.666666666667,87.6,166.8,91,182.8,199.8,170.2,129.6,129.2
"gene-EPHB1|EPHB1",32.8,50,46.2,41,53.2,86.2,83,86.6,62.8,56.2
"gene-SLC39A7|SLC39A7",411,674,943.4,653.2,420,600.6,809,665.8,755,790.4
"gene-TRIM33|TRIM33",460.4,879.666666666667,488.8,738.2,528.4,785.8,1062.8,776.2,969.4,688.8
"gene-ZBTB7C|ZBTB7C",2.4,123.333333333333,56,1.2,93,0.8,4.2,1.6,1.4,3.4
"gene-LOC132777016|LOC132777016",246,202.666666666667,162.6,180,189.8,236.4,179.6,130.4,175.8,234.4
"gene-MTMR2|MTMR2",15,55.3333333333333,18.4,63.2,34.4,46.8,80.8,82.6,117.6,120.8
"gene-BMP5|BMP5",456.6,408.333333333333,804.8,1199.4,548.4,338.8,931,1183.4,823,1023.6
"gene-MOGAT2|MOGAT2",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097327|LOC137097327",10.4,12.3333333333333,8.6,11.2,3.8,11.6,11.8,13.8,14.2,15.8
"gene-LOC132766007|LOC132766007",325,216.333333333333,155,209.2,245,239.4,286.6,194.8,213.2,156.6
"gene-PTPN21|PTPN21",167,1079.66666666667,259.8,792.6,329.4,652.2,1134,1189,1009,839
"gene-PDIA5|PDIA5",657.4,634.333333333333,1908,997.6,1533.2,779.4,663.2,610.6,1007.6,1371.8
"gene-NUBPL|NUBPL",161.4,397.333333333333,227.4,469.8,251.2,344.4,207.2,375.4,272.8,263.8
"gene-LOC137097252|LOC137097252",1.6,0.333333333333333,1.6,2,1.2,1.6,3.2,1.4,3.4,3.2
"gene-LOC132769995|LOC132769995",50.4,0,2.2,0.6,7.4,3.2,14.8,1.6,11.2,10
"gene-LOC137098022|LOC137098022",716.2,1346.66666666667,702.6,983.6,685.6,992.8,1330.4,946.8,1408.6,1228.2
"gene-LOC137097001|LOC137097001",12.8,6,7,6.6,14.8,10.6,13.4,6.6,8.6,14.6
"gene-LOC132761676|LOC132761676",9.2,9,4.6,15.4,7.6,13.8,21,16,8.2,10.8
"gene-C2H18orf54|C2H18orf54",60.8,107,114.4,152.8,141.8,138,139.6,132,217.4,168
"gene-FHAD1|FHAD1",20.8,39.3333333333333,16,20.8,24.8,41.8,19.6,26.6,33.4,16.4
"gene-LOC137095199|LOC137095199",0,186.333333333333,0,164.8,0,207.4,0,225,0,144.4
"gene-SH3D19|SH3D19",1415.6,2357.66666666667,1263.8,2159.2,2399.2,3544,2800,2622,2222.6,1914.8
"gene-CARHSP1|CARHSP1",1159.8,1425.66666666667,1081,1391,1702.2,1329.2,1637,1283.8,1240.8,1017.2
"gene-LOC132766646|LOC132766646",0.4,0,0,0,0,1.4,0,0,0,0
"gene-LOC132769577|LOC132769577",0.4,1,0,0,0.2,0.4,2,0.6,1,0.6
"gene-CNKSR2|CNKSR2",0.6,3.33333333333333,2.4,0.6,4.6,1.8,0.4,1.8,3.4,1.8
"gene-LOC132766429|LOC132766429",36,16,27.2,13.8,26.6,20.4,57.8,38,58.6,29.6
"gene-LMX1B|LMX1B",78,24,49,9.6,91.6,5.6,26.6,32,20.4,10
"gene-B3GAT2|B3GAT2",115.2,77.3333333333333,120.6,103.6,135,144.6,215,204.2,164.6,99.6
"gene-LOC132766639|LOC132766639",5.6,6.66666666666667,1.2,5.4,1.2,4.6,1.4,0.6,0.6,0.8
"gene-LOC132780032|LOC132780032",100.2,210.666666666667,135.4,249.6,146,180.4,196.4,170,197.8,251.8
"gene-TRNAK-CUU-6|TRNAK-CUU",0,0.333333333333333,0,0,0,0,0,0,0,0
"gene-LOC132782134|LOC132782134",22.6,93.6666666666667,33.6,106.6,30.8,78.4,58.6,33,10.2,11.2
"gene-LOC132763180|LOC132763180",9,28,14,26.2,27,20.4,40.2,11.6,121.2,45.8
"gene-LOC137096525|LOC137096525",0,0,0,0,2.6,0,0,0,0,0
"gene-LOC132781737|LOC132781737",51,21.6666666666667,55.4,57.6,114.8,114,146.4,81.4,9.2,33.2
"gene-MCUB|MCUB",191.2,517.666666666667,251.4,647.2,342,459,301.4,184.4,202.8,178.6
"gene-SLC38A4|SLC38A4",9465,24430.6666666667,7897,16522.4,10331.4,21325.8,37289.8,43019.6,52658.8,38127.4
"gene-LOC132780259|LOC132780259",3522.2,4810.66666666667,4554.6,6180.8,4768.8,7146.2,5875.6,5996.6,5880.4,9119.4
"gene-UNC5D|UNC5D",5.2,45.6666666666667,15.4,27.8,13,13.4,15.2,9,8.8,6.6
"gene-ARV1|ARV1",42.6,52,30.8,72.8,50.4,47.6,32.6,29.8,22.6,16.8
"gene-ASMTL|ASMTL",3437.6,3481.33333333333,2271.2,2749.8,4615.6,3750.2,6263.6,7036.6,9272.8,7442.6
"gene-CCDC83|CCDC83",0,2.66666666666667,0,1.4,0,0,0,0.8,6.4,0
"gene-LOC132772930|LOC132772930",1.2,0,0,0,0.8,0,1.6,0,0,0
"gene-LOC132769544|LOC132769544",0,0,0,0,0,0.2,0.2,0,0.2,0
"gene-DCST1|DCST1",1.4,0,1.6,1.4,0,0,0,0,1.2,0
"gene-PAN3|PAN3",4969.6,4930.33333333333,3453.6,4741.8,4232.4,4910.4,6005.4,4220.6,4860.4,3533.2
"gene-USP38|USP38",1316.6,2263,1480.6,1826.2,1442.2,2361,2107.6,2306,1426,1081.8
"gene-LOC132770413|LOC132770413",0,0,0,0,0,1.4,0,0,0,0
"gene-FRAS1|FRAS1",1,54.6666666666667,12,38.6,25.8,25.8,27.4,23.2,38.4,49.6
"gene-FAM110D|FAM110D",2.4,9,4.4,14.2,10,17.2,20.4,22.4,18.8,21.2
"gene-LOC132781797|LOC132781797",1.2,5,0.6,4.4,2.6,3.2,0.6,4.8,2.8,3
"gene-LOC137097531|LOC137097531",0,0,0,0,0,0,0,0,0,0
"gene-LOC137095071|LOC137095071",0,0,0.2,0,0,0,0,0,0,0
"gene-LOC132781631|LOC132781631",5.4,9.33333333333333,6.4,12.6,8.4,4.6,2.6,7.2,5.2,4
"gene-LOC132781808|LOC132781808",175.2,208.666666666667,241.8,269.6,289,298.8,430.4,327.8,294.6,208.2
"gene-BBX|BBX",188.6,543,245,492,342,450.6,462.6,395.4,474,429.2
"gene-TTC23L|TTC23L",39.6,30,19.6,22.6,42.2,31,29.4,31.6,34.6,29.6
"gene-ERH|ERH",1613.4,1757.66666666667,2183.2,2944,1609.2,1662,1638.2,1481.2,1744,1651.8
"gene-CYP26B1|CYP26B1",0,8.66666666666667,2.4,1.2,3,1,2,0,14.2,7.8
"gene-DYSF|DYSF",20.8,120.666666666667,42.2,104,67.4,93.8,177.8,97.2,202.4,269.8
"gene-POMGNT2|POMGNT2",41.6,123.333333333333,84.2,110.2,111.2,138.8,177,106.4,79.8,48
"gene-CDHR1|CDHR1",0,0,0,0,0,0,0,0,0,0
"gene-ITGA4|ITGA4",380.6,367.666666666667,317.6,493.6,489.8,589,692.4,467.6,266,304
"gene-LOC137097319|LOC137097319",0,0,0,0,0,0,0,0,0,0
"gene-KCNC1|KCNC1",0,0,1.4,0,0,0,0,0,0,0
"gene-TRNAN-GUU-8|TRNAN-GUU",0,0,0,0,0,0,0,0,0,0
"gene-LOC132769916|LOC132769916",0,0,0,0,0,0,0,0,0,0
"gene-LOC137096887|LOC137096887",64.4,80,58,83.8,56.4,104,135.4,65.4,114.6,74
"gene-SLC26A7|SLC26A7",500.2,109.333333333333,708.4,70.2,361,186.8,657,225.6,58.2,64.2
"gene-SC5D|SC5D",862.8,1574.66666666667,1076.4,1500.8,2064.6,2122.6,1802.2,2462.2,1874.6,1276.4
"gene-VPS35L|VPS35L",690.4,1059,863.4,822.4,1068.6,867.8,1788.2,897.4,1691.2,946.2
"gene-NDUFS6|NDUFS6",649.4,653.333333333333,679.2,738.2,608.8,623.2,602.8,568.8,524.8,649
"gene-EPB41L5|EPB41L5",1814.2,2001.66666666667,1738.8,1682.6,2232.6,2091,2357.4,1818.6,2667.6,2134
"gene-UACA|UACA",570.6,1193.33333333333,567.8,1015.4,895.4,1112.2,1647.4,1097,1370,976.2
"gene-MATCAP2|MATCAP2",4.2,12,9.4,22.4,12.4,22.6,16.2,17,8,8.8
"gene-IRX2|IRX2",0,0,0,0,0.6,0,0,0,1.4,0
"gene-LOC132780592|LOC132780592",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097572|LOC137097572",0,0,0,0,0,0,0.6,0,0,0
"gene-MPP1|MPP1",139.2,493.333333333333,207.2,305.2,778.6,338.8,556,355,212.2,164.6
"gene-LOC137096869|LOC137096869",0,1.33333333333333,0,0,0,2.8,0,0,0,0
"gene-CAPN13|CAPN13",0,1.33333333333333,0,0,0,0,0,1.2,0,0
"gene-LOC132767625|LOC132767625",13.4,13,16.2,21.4,24.6,22.2,24.6,19.2,24.2,17.6
"gene-CIAPIN1|CIAPIN1",465.4,728,616.4,914,677,862.4,846,622,681.4,652.6
"gene-RFC5|RFC5",178.4,150,185.6,205.2,155.8,136.6,212.2,123.6,641,345.6
"gene-CABLES2|CABLES2",565.8,274.666666666667,320.2,206.4,470.6,225.4,305,169.4,189,137.6
"gene-LOC137095624|LOC137095624",0,89.6666666666667,0,109.8,0,99.2,0,61.6,0,82.8
"gene-LOC132779148|LOC132779148",0,0,0,0,0,0,0,0,0,0
"gene-UNC5B|UNC5B",14.4,85,28.8,62,45.6,31.8,36,24.6,42.6,40.8
"gene-LOC132775281|LOC132775281",11.6,3.33333333333333,13.6,4.8,5.6,7.2,7.8,4.2,6.2,5.6
"gene-AP1S2|AP1S2",1277.4,1459.66666666667,1203.6,2295.6,1182.6,836.2,1413.2,1098.2,1550.4,1046.8
"gene-BAIAP2L2|BAIAP2L2",1.2,4,0,3.2,0.8,3,0.6,2.4,1.4,4.2
"gene-LOC137097166|LOC137097166",2,333.666666666667,9.8,37.2,19.6,65.2,1.6,47.8,0.8,8.2
"gene-NCBP3|NCBP3",114.2,532,256.4,398.8,221.6,457,694,539.8,1061.6,627.2
"gene-LOC132774890|LOC132774890",537,499.333333333333,515.2,593,595,436,599.2,369,850.8,467.4
"gene-SLC2A9|SLC2A9",51.6,213,39,95.6,63.6,77.2,118.8,109.8,229.4,166.6
"gene-LOC132763979|LOC132763979",3.6,1.33333333333333,0.8,2,1.4,1.2,1.8,0.4,1.4,0.8
"gene-TRNAV-CAC-4|TRNAV-CAC",0,0,0,0,0,0,0,0,0,0.2
"gene-LOC132778238|LOC132778238",2.2,0,0,0,0,0,5.8,0,26.2,8.2
"gene-LOC137096595|LOC137096595",0,0,0,0,0,0,0,0,0,0
"gene-LOC132782084|LOC132782084",45.2,87.6666666666667,60,129.4,56.2,98.8,76.8,43.4,26,17.6
"gene-LOC137097744|LOC137097744",0.2,0,0,0.2,0,0.4,0,0.2,0,0
"gene-LOC132763246|LOC132763246",0.6,0.666666666666667,0,0.2,0.4,0.8,0.4,0.4,0,0.4
"gene-KLHDC7A|KLHDC7A",0,43.3333333333333,6.6,10,5.4,27.4,14.8,10.4,3,3.6
"gene-MUC22|MUC22",0,0,0,0,0,0,0,0,1.2,0
"gene-GRIA1|GRIA1",19,47,27.6,23.4,17.2,38.2,20,44.8,18.6,24.8
"gene-ZNHIT3|ZNHIT3",181,244.666666666667,253,286,233.6,256,233.8,206.8,230.8,147
"gene-TMEM179|TMEM179",21,9.66666666666667,13.2,13.4,23.4,16.2,45.6,35.8,24.8,16.2
"gene-LCA5|LCA5",125.2,219.666666666667,149.8,187.6,209.6,175.4,230.6,109.4,199.2,141.6
"gene-IRS1|IRS1",393.6,449.333333333333,278.2,318.8,434.8,293.2,844.4,333.6,975.8,342.8
"gene-NUDCD1|NUDCD1",831.6,1227,967.8,1211.2,991.4,1246.8,1416.4,1311.2,1548.6,1349
"gene-LOC132770412|LOC132770412",0,0,0,0,0,1.4,0,0,0,0
"gene-LOC132777799|LOC132777799",900,1513.66666666667,938.6,1443,1108,1508.6,1307.2,976.6,1022.6,577.8
"gene-LOC132765286|LOC132765286",63.6,99,67,138.8,84.2,130,113.6,84.6,92.4,77.8
"gene-LOC132780109|LOC132780109",256.4,309.333333333333,257.8,391.2,290.8,383.4,283.2,226.2,151,142.2
"gene-TBX5|TBX5",1.2,7,0,1,0,0,2.6,0.6,17,0.8
"gene-SAMD15|SAMD15",1.2,2.33333333333333,6.2,1,4.4,5,9,2,3.6,2.4
"gene-MEX3C|MEX3C",902.6,1545.33333333333,1080.2,1437.2,1334,1520.4,2258,1162.6,1569,959.8
"gene-LOC132768568|LOC132768568",505.6,262,251.8,328,242,225.4,209.4,159,179.8,184.4
"gene-ZFPL1|ZFPL1",524.2,682.333333333333,622.4,636.6,513.2,569.4,695.4,647.8,657.6,550.6
"gene-DYRK4|DYRK4",0,0,0,0,0,0,0,0,0,0
"gene-LRBA|LRBA",461.6,886,501.2,927.4,559.8,980.8,784.2,874.8,552.6,618.2
"gene-LOC132764086|LOC132764086",0,0,0,0,0,0,0,0,0,0
"gene-YTHDC2|YTHDC2",918.2,848.666666666667,1181.2,944.6,763,1073.6,1339.2,936.2,1061.8,895.4
"gene-STIM2|STIM2",330.4,534.333333333333,364,557.2,465.4,458.8,488.8,385.6,270.4,239.4
"gene-LOC137096585|LOC137096585",3.6,8,5.8,5.2,3.4,4.6,3.8,5.6,6,4.8
"gene-TBPL2|TBPL2",0,1.66666666666667,0,0.6,2.8,7.6,0,0,0,0
"gene-LOC132772259|LOC132772259",375,329,345.8,502.8,334.8,348,385.6,345.6,337.8,536
"gene-TRNAS-AGA-6|TRNAS-AGA",0,0,0,0,0,0,0,0,0,0
"gene-TFAP2C|TFAP2C",0,0,7.4,0.6,0,0,0,0,0,0
"gene-LOC132765362|LOC132765362",0,0,0,0,0,0,0,0,0,0
"gene-LOC132780156|LOC132780156",35.6,88.3333333333333,96.8,120.2,107,166.6,156.4,129.2,178,124.2
"gene-NOPCHAP1|NOPCHAP1",188.8,320.666666666667,199.8,363.2,192,247.6,306,238.8,293.4,269.8
"gene-LOC132772714|LOC132772714",1.4,6,3.6,2.4,2,3.6,2.4,2.4,5.8,3.4
"gene-LOC137095556|LOC137095556",0,10.3333333333333,2.6,8.2,1,20.2,6.2,8.2,23.2,22
"gene-LOC132769799|LOC132769799",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097022|LOC137097022",7,0,0.8,1.8,2.4,2.8,2,0,0,0
"gene-ECSCR|ECSCR",2,3,2.8,0,11.6,4,5,2.4,14,7
"gene-LOC132774438|LOC132774438",16321,28401,20912.4,26952,26430.6,25019.4,28089,23658.2,17947.6,23619.2
"gene-LOC132783267|LOC132783267",282143.2,179490.666666667,283131.4,235298.4,449734.6,296944.8,363110.2,364210,420348,265970.8
"gene-ETAA1|ETAA1",90.6,83,61.6,84.8,67.6,46.8,132.6,59,150,100.4
"gene-LOC132777135|LOC132777135",4307.6,6607.66666666667,7173.6,6857.8,6769.8,6785.2,7315.4,6950.8,11775.4,8700.4
"gene-SRPK1|SRPK1",787.2,1237,849.4,1285.4,820,1069.4,1130.2,1157.6,1022,915.2
"gene-FAM81A|FAM81A",0,3.66666666666667,0,0,0,2,0.8,1,0,0
"gene-LOC132764624|LOC132764624",2.4,0.666666666666667,1,0.8,0,0.4,1,0.4,0,0.6
"gene-LOC132762217|LOC132762217",0,0,0.4,0.2,0.4,0,0,0,0,0
"gene-UBE3D|UBE3D",37.6,28.3333333333333,81.4,68,26.2,22.2,41.6,33,54.4,42
"gene-RBBP8NL|RBBP8NL",15.6,6,1.2,1.4,0.8,1.8,1,0.8,2,0.6
"gene-PAQR6|PAQR6",36.6,280.666666666667,101.6,271,63.4,151.6,195.8,102.2,37.6,33.2
"gene-RSPO4|RSPO4",1.2,0.666666666666667,1.6,0.8,0.2,0,71.8,0.2,3,0.6
"gene-RSPH9|RSPH9",13.4,31,17.4,25,24.4,45.2,70.8,69.8,29,28
"gene-CYP1B1|CYP1B1",14.2,15.3333333333333,27.4,21,8.6,11.2,23.6,16.6,25.4,9.4
"gene-NANOS1|NANOS1",148.6,763.666666666667,276.4,1593.8,469.8,807,586.8,239.2,137.4,149
"gene-MMS22L|MMS22L",10,9.33333333333333,19.4,42.4,3.4,26.8,42,15.4,201,166.6
"gene-LOC132765525|LOC132765525",0.2,0.333333333333333,1.6,0,0,0,0,0,0,0
"gene-LOC137095910|LOC137095910",0,0,0,0,0,0,0,0,0,0
"gene-LOC132779185|LOC132779185",6.2,6,1.6,2,5.6,1.2,3.6,7.2,12,7
"gene-CNOT6|CNOT6",972,1791,847.4,1354.2,941.8,1206,1710.2,1486.6,1265.8,1167.8
"gene-LOC132763862|LOC132763862",0,0,0,0,0,1,0.4,0,0.2,0.2
"gene-DNAJC18|DNAJC18",86.4,130.666666666667,93,167,101.2,135.4,131.2,148.2,114,93.4
"gene-SP2|SP2",470.4,809.666666666667,464.8,731.8,509.6,750.4,820.6,598.6,820,655.8
"gene-OGFOD1|OGFOD1",102.4,196.333333333333,140.2,203.2,153,174.2,201.8,157.2,191.4,174.8
"gene-LOC137097430|LOC137097430",0.4,24.3333333333333,11.6,28.2,5.8,52.8,2.4,6.8,1.6,0
"gene-LOC132775373|LOC132775373",0.4,1,0.2,1.4,3.6,0,0,0.2,0,0
"gene-RSPH3|RSPH3",42.4,55,42.2,29.8,57.6,61.6,69.2,75.2,61.8,69
"gene-RABIF|RABIF",649.4,789.333333333333,808.6,997.8,1027.6,728,796,659.6,581.4,557.2
